Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2017-09-02, W Michigan, 263, 48, 94, 23, 12, 6, 34, 0, 1, 24, 14, 5, 0, 0, 2078, 31, USC, 232, 34, 289, 33, 23, 9, 94, 0, 2, 25, 11, 7, 0, 0, 1522, 49
2017-09-10, Stanford, 170, 26, 172, 28, 15, 7, 35, 0, 0, 16, 12, 6, 1, 0, 1525, 24, USC, 307, 48, 316, 26, 21, 8, 90, 0, 2, 28, 12, 10, 0, 0, 2075, 42
2017-09-17, Texas, 68, 35, 298, 40, 21, 10, 73, 2, 2, 17, 16, 4, 3, 2, 1634, 24, USC, 71, 37, 397, 51, 28, 8, 49, 0, 2, 24, 18, 6, 3, 0, 1966, 27
2017-09-23, USC, 133, 38, 223, 38, 26, 5, 53, 1, 1, 22, 15, 6, 2, 0, 1860, 30, Cal, 113, 33, 303, 52, 22, 6, 44, 2, 4, 21, 19, 6, 6, 4, 1740, 20
2017-09-30, USC, 163, 29, 164, 29, 15, 9, 80, 1, 1, 15, 11, 2, 1, 1, 1473, 27, Washington St, 122, 30, 340, 51, 34, 6, 59, 0, 1, 23, 18, 8, 1, 1, 2127, 30
2017-10-07, Oregon State, 122, 36, 197, 29, 16, 7, 69, 2, 1, 16, 15, 5, 2, 0, 1766, 10, USC, 184, 37, 328, 36, 24, 4, 46, 2, 1, 26, 13, 6, 2, 1, 1834, 38
2017-10-15, Utah, 169, 41, 267, 28, 17, 6, 40, 0, 1, 20, 14, 4, 2, 2, 1980, 27, USC, 174, 33, 358, 50, 27, 3, 35, 3, 0, 30, 14, 7, 2, 1, 1620, 28
2017-10-15, Utah, 169, 41, 267, 28, 17, 6, 40, 0, 1, 20, 14, 4, 2, 2, 1980, 27, USC, 174, 33, 358, 50, 27, 3, 35, 3, 0, 30, 14, 7, 2, 1, 1620, 28
2017-10-21, USC, 76, 31, 260, 36, 25, 7, 40, 2, 1, 18, 13, 4, 2, 1, 1896, 14, Notre Dame, 377, 47, 120, 22, 9, 7, 51, 0, 0, 23, 13, 7, 0, 0, 1704, 49
2017-10-29, USC, 341, 46, 266, 35, 19, 8, 60, 1, 0, 29, 16, 7, 3, 1, 2043, 48, Arizona State, 79, 30, 278, 31, 18, 10, 99, 0, 1, 15, 12, 1, 2, 1, 1557, 17
2017-10-29, USC, 341, 46, 266, 35, 19, 8, 60, 1, 0, 29, 16, 7, 3, 1, 2043, 48, Arizona State, 79, 30, 278, 31, 18, 10, 99, 0, 1, 15, 12, 1, 2, 1, 1557, 17
2017-11-05, Arizona, 234, 43, 146, 31, 14, 3, 32, 1, 2, 25, 15, 5, 1, 1, 1565, 35, USC, 331, 52, 311, 26, 20, 14, 123, 0, 1, 30, 12, 5, 2, 1, 2035, 49
2017-11-05, Arizona, 234, 43, 146, 31, 14, 3, 32, 1, 2, 25, 15, 5, 1, 1, 1565, 35, USC, 331, 52, 311, 26, 20, 14, 123, 0, 1, 30, 12, 5, 2, 1, 2035, 49
2017-11-11, USC, 193, 38, 329, 34, 21, 9, 79, 0, 0, 23, 14, 4, 3, 1, 1890, 38, Colorado, 110, 34, 376, 49, 27, 4, 45, 0, 2, 23, 17, 5, 5, 2, 1710, 24
2017-11-19, UCLA, 80, 31, 421, 52, 32, 12, 100, 1, 1, 28, 19, 10, 1, 1, 1818, 23, USC, 153, 41, 264, 28, 17, 11, 115, 0, 1, 24, 10, 2, 2, 1, 1782, 28
2017-11-19, UCLA, 80, 31, 421, 52, 32, 12, 100, 1, 1, 28, 19, 10, 1, 1, 1818, 23, USC, 153, 41, 264, 28, 17, 11, 115, 0, 1, 24, 10, 2, 2, 1, 1782, 28
2017-12-02, Stanford, 151, 38, 192, 22, 10, 7, 73, 0, 0, 18, 12, 6, 1, 0, 1726, 28, USC, 176, 43, 325, 24, 17, 9, 76, 1, 0, 22, 13, 6, 2, 2, 1874, 31
2017-12-02, Stanford, 151, 38, 192, 22, 10, 7, 73, 0, 0, 18, 12, 6, 1, 0, 1726, 28, USC, 176, 43, 325, 24, 17, 9, 76, 1, 0, 22, 13, 6, 2, 2, 1874, 31
2017-12-30, USC, 57, 36, 356, 45, 26, 3, 35, 3, 1, 23, 19, 6, 3, 2, 2096, 7, OSU, 163, 38, 114, 17, 11, 3, 30, 1, 0, 13, 12, 2, 2, 1, 1504, 24
2017-12-30, USC, 57, 36, 356, 45, 26, 3, 35, 3, 1, 23, 19, 6, 3, 2, 2096, 7, OSU, 163, 38, 114, 17, 11, 3, 30, 1, 0, 13, 12, 2, 2, 1, 1504, 24
